SP_ENTITY_ID,SP_COMPANY_NAME,SP_TICKER,fiscal_year,iq_cash_equiv,iq_cash_oper,iq_ebit,iq_ebitda,iq_interest_exp,iq_lt_debt,iq_st_debt,iq_total_assets,iq_total_rev,pcd_total_liab
4001036,Modine Manufacturing Company,MOD,2025,71600,213300,309100,386800,-26400,294500,9300,1917600,2583500,
4001586,PACCAR Inc,PCAR,2020,3405000,2987200,1621900,2670900,-4100,,,28260000,18728500,
4001586,PACCAR Inc,PCAR,2021,3253600,2186700,2386700,3290000,-7300,,,29509400,23522300,
4001586,PACCAR Inc,PCAR,2022,4544700,3027000,3779200,4569400,,,,33275500,28819700,
4001586,PACCAR Inc,PCAR,2023,6836700,4190000,6043100,6478400,-17900,,,40823400,35127400,
4001586,PACCAR Inc,PCAR,2024,6871100,4640900,4992500,5364700,-35300,,,43418900,33663800,
4001590,"Harley-Davidson, Inc.",HOG,2020,666161,1177890,137522,323237,-31121,743977,,12010601,4054377,
4001590,"Harley-Davidson, Inc.",HOG,2021,1078205,975701,834277,999462,-30972,744668,,11051055,5336308,
4001590,"Harley-Davidson, Inc.",HOG,2022,1021798,548461,954862,1106804,-31235,745368,,11492476,5755130,
4001590,"Harley-Davidson, Inc.",HOG,2023,1127400,754887,855067,1013179,-30787,746077,,12140554,5836478,
4001590,"Harley-Davidson, Inc.",HOG,2024,1105663,1063833,478225,638898,-30748,296969,,11881579,5186802,
4001600,RTX Corporation,RTX,2020,8802000,3606000,1765000,5921000,-1430000,30962000,247000,162153000,56587000,
4001600,RTX Corporation,RTX,2021,7832000,7071000,6636000,11193000,-1330000,31226000,134000,161404000,64388000,
4001600,RTX Corporation,RTX,2022,6220000,7168000,7347000,11455000,-1300000,30606000,625000,158864000,67074000,
4001600,RTX Corporation,RTX,2023,6587000,7883000,5489000,9700000,-1653000,42263000,189000,161869000,68920000,
4001600,RTX Corporation,RTX,2024,5578000,7159000,8465000,12829000,-1970000,38639000,183000,162861000,80738000,
4001601,Whirlpool Corporation,WHR,2020,2924000,1500000,1886000,2454000,-189000,5059000,12000,20436000,19456000,
4001601,Whirlpool Corporation,WHR,2021,3044000,2176000,2328000,2775000,-175000,4929000,10000,20285000,21985000,
4001601,Whirlpool Corporation,WHR,2022,1958000,1390000,1313000,1786000,-190000,7363000,4000,17124000,19724000,
4001601,Whirlpool Corporation,WHR,2023,1570000,915000,1225000,1583000,-351000,6414000,17000,17312000,19455000,
4001601,Whirlpool Corporation,WHR,2024,1275000,835000,889000,1217000,-358000,4758000,18000,16301000,16607000,
4001615,"H&R Block, Inc.",HRB,2020,2661914,108961,183083,352619,-96094,2845873,15200,5112047,2639720,
4001615,"H&R Block, Inc.",HRB,2021,1434381,208956,806130,953646,-84192,1983719,1400,4014388,2796636,
4001615,"H&R Block, Inc.",HRB,2022,885015,808537,744897,887075,-88282,1486876,2700,3269158,3463270,
4001615,"H&R Block, Inc.",HRB,2023,986975,821841,748698,879199,-72978,1488974,,3072258,3472185,
4001615,"H&R Block, Inc.",HRB,2024,1053326,720860,805277,927061,-79080,1491095,,3218810,3610347,
4001615,"H&R Block, Inc.",HRB,2025,983277,680883,827970,944797,-78113,1143305,,3263898,3760995,
4001616,"Dominion Energy, Inc.",D,2020,172000,5227000,3556000,6392000,-1377000,33907000,1120000,95905000,14172000,
4001616,"Dominion Energy, Inc.",D,2021,283000,4037000,3121000,5902000,-1232000,37658000,2314000,99590000,11419000,
4001616,"Dominion Energy, Inc.",D,2022,119000,3700000,2835000,5948000,-1037000,34799000,3423000,104795000,13938000,
4001616,"Dominion Energy, Inc.",D,2023,184000,6572000,3910000,7038000,-1674000,33527000,3956000,109080000,14393000,
4001616,"Dominion Energy, Inc.",D,2024,310000,5018000,4579000,7218000,-1867000,37892000,2500000,102415000,14459000,
4001703,Cabot Corporation,CBT,2020,151000,377000,148000,306000,-53000,1066000,14000,2781000,2614000,
4001703,Cabot Corporation,CBT,2021,168000,257000,433000,593000,-49000,688000,72000,3306000,3409000,
4001703,Cabot Corporation,CBT,2022,206000,100000,568000,714000,-56000,1063000,347000,3525000,4321000,
4001703,Cabot Corporation,CBT,2023,238000,595000,524000,668000,-90000,1070000,174000,3604000,3931000,
4001703,Cabot Corporation,CBT,2024,223000,692000,628000,779000,-81000,1064000,45000,3736000,3994000,
4001703,Cabot Corporation,CBT,2025,258000,665000,631000,785000,-76000,832000,14000,3815000,3713000,
4001948,"Red Rock Resorts, Inc.",RRR,2020,121176,212790,125111,356502,-150055,2879163,,3739954,1182445,
4001948,"Red Rock Resorts, Inc.",RRR,2021,275281,609963,560529,718320,-103206,2827603,,3140333,1617899,
4001948,"Red Rock Resorts, Inc.",RRR,2022,117289,542224,593660,722028,-129889,2958717,,3345750,1663786,
4001948,"Red Rock Resorts, Inc.",RRR,2023,137586,494337,590664,723200,-181023,3301658,,3954512,1724086,
4001948,"Red Rock Resorts, Inc.",RRR,2024,164383,548263,575396,762508,-228804,3354570,,4045531,1939011,
4002506,Spire Inc.,SR,2020,4100,469900,368400,565700,-105500,2423700,648000,8241200,1855400,
4002506,Spire Inc.,SR,2021,4300,249800,460000,673100,-106600,2939100,672000,9356400,2235500,
4002506,Spire Inc.,SR,2022,6500,55000,422600,659900,-119800,2958500,1037500,10083700,2198500,
4002506,Spire Inc.,SR,2023,5600,440200,426900,681700,-185700,3554000,955500,10313600,2666300,
4002506,Spire Inc.,SR,2024,4500,912400,497100,775500,-201100,3704400,947000,10860700,2593000,
4002506,Spire Inc.,SR,2025,5700,578000,539500,837700,-204100,3369400,1317000,11575300,2476400,
4004086,The Boeing Company,BA,2020,7752000,-18410000,-8485000,-6239000,-2156000,60987000,,152136000,58158000,
4004086,The Boeing Company,BA,2021,8052000,-3416000,-473000,1671000,-2714000,55487000,,138552000,62286000,
4004086,The Boeing Company,BA,2022,14614000,3512000,-817000,1162000,-2561000,51670000,,137100000,66608000,
4004086,The Boeing Company,BA,2023,12691000,5960000,1293000,3154000,-2459000,46927000,,137012000,77794000,
4004086,The Boeing Company,BA,2024,13801000,-12080000,-10019000,-8183000,-2725000,52433000,,156363000,66517000,
4004099,Union Pacific Corporation,UNP,2020,1799000,8540000,7875000,10085000,-1141000,25320000,,62398000,19533000,
4004099,Union Pacific Corporation,UNP,2021,960000,9032000,9363000,11571000,-1157000,27319000,,63525000,21804000,
4004099,Union Pacific Corporation,UNP,2022,973000,9362000,10001000,12247000,-1271000,31481000,,65449000,24875000,
4004099,Union Pacific Corporation,UNP,2023,1055000,8379000,9134000,11452000,-1340000,31047000,,67132000,24119000,
4004099,Union Pacific Corporation,UNP,2024,1016000,9346000,9768000,12166000,-1269000,29695000,,67715000,24250000,
4004104,"Macy's, Inc.",M,2020,685000,1608000,1159000,1855000,-205000,3621000,,21172000,25331000,
4004104,"Macy's, Inc.",M,2021,1679000,649000,-902000,-211000,-284000,4407000,,17706000,18097000,
4004104,"Macy's, Inc.",M,2022,1712000,2712000,2334000,2970000,-255000,3295000,,17590000,25399000,
4004104,"Macy's, Inc.",M,2023,862000,1615000,1640000,2262000,-162000,2996000,,16866000,25449000,
4004104,"Macy's, Inc.",M,2024,1034000,1305000,1263000,1891000,-135000,2998000,,16246000,23866000,
4004104,"Macy's, Inc.",M,2025,1306000,1278000,913000,1484000,-115000,2773000,,16402000,23006000,
4004107,Freeport-McMoRan Inc.,FCX,2020,3657000,3017000,2073000,3834000,-563000,9677000,,42144000,14198000,
4004107,Freeport-McMoRan Inc.,FCX,2021,8068000,7715000,8385000,10599000,-559000,9078000,,48022000,22845000,
4004107,Freeport-McMoRan Inc.,FCX,2022,8146000,5139000,7011000,9274000,-560000,9583000,,51093000,22780000,
4004107,Freeport-McMoRan Inc.,FCX,2023,4758000,5279000,6249000,8523000,-454000,8656000,,52506000,22855000,
4004107,Freeport-McMoRan Inc.,FCX,2024,3923000,7160000,6941000,9536000,-319000,8907000,,54848000,25455000,
4004124,The Procter & Gamble Company,PG,2020,16181000,17403000,16103000,19116000,-465000,23537000,8675000,120700000,70950000,
4004124,The Procter & Gamble Company,PG,2021,10288000,18371000,18483000,21218000,-502000,23099000,5269000,119307000,76118000,
4004124,The Procter & Gamble Company,PG,2022,7214000,16723000,18445000,21252000,-439000,22848000,4998000,117208000,80187000,
4004124,The Procter & Gamble Company,PG,2023,8246000,16848000,18737000,21451000,-756000,24823000,6909000,120829000,82006000,
4004124,The Procter & Gamble Company,PG,2024,9482000,19846000,20948000,23844000,-925000,25594000,3384000,122370000,84039000,
4004124,The Procter & Gamble Company,PG,2025,9556000,17817000,21608000,24455000,-907000,25430000,4762000,125231000,84284000,
4004135,"The Home Depot, Inc.",HD,2020,2133000,13687000,15843000,18139000,-1201000,27589000,974000,51236000,110225000,
4004135,"The Home Depot, Inc.",HD,2021,7895000,18839000,18278000,20797000,-1347000,33122000,,70581000,132110000,
4004135,"The Home Depot, Inc.",HD,2022,2343000,16571000,23040000,25902000,-1347000,33566000,1035000,71876000,151157000,
4004135,"The Home Depot, Inc.",HD,2023,2757000,14615000,24039000,27014000,-1617000,39686000,,76445000,157403000,
4004135,"The Home Depot, Inc.",HD,2024,3760000,21172000,21689000,24936000,-1943000,40601000,,76530000,152669000,
4004135,"The Home Depot, Inc.",HD,2025,1659000,19810000,21526000,25287000,-2321000,46531000,316000,96119000,159514000,
4004136,The Kroger Co.,KR,2020,399000,4664000,2672000,5406000,-603000,11349000,,45256000,122286000,
4004136,The Kroger Co.,KR,2021,1687000,6815000,3179000,5993000,-544000,11566000,,48662000,132498000,
4004136,The Kroger Co.,KR,2022,1821000,6190000,3709000,6592000,-571000,11294000,59000,49086000,137888000,
4004136,The Kroger Co.,KR,2023,1015000,4498000,4546000,7563000,-568000,10281000,,49623000,148258000,
4004136,The Kroger Co.,KR,2024,1883000,6788000,4986000,8153000,-559000,10165000,,50505000,150039000,
4004136,The Kroger Co.,KR,2025,3959000,5794000,4648000,7924000,-761000,15805000,,52616000,147123000,
4004166,"PepsiCo, Inc.",PEP,2020,8185000,10613000,10931000,13327000,-1257000,40370000,422000,92918000,70372000,
4004166,"PepsiCo, Inc.",PEP,2021,5596000,11616000,11858000,14433000,-1799000,36026000,436000,92377000,79474000,
4004166,"PepsiCo, Inc.",PEP,2022,4954000,10811000,12310000,14950000,-780000,35657000,318000,92187000,86392000,
4004166,"PepsiCo, Inc.",PEP,2023,9711000,13442000,14011000,16800000,-859000,37595000,2586000,100495000,91471000,
4004166,"PepsiCo, Inc.",PEP,2024,8505000,12507000,14380000,17341000,-878000,37224000,3078000,99467000,91854000,
4004170,Chevron Corporation,CVX,2020,5596000,10577000,-4252000,13131000,-697000,42320000,5627000,239790000,94005000,
4004170,Chevron Corporation,CVX,2021,5640000,29187000,16087000,33632000,-712000,30664000,62000,239535000,155067000,
4004170,Chevron Corporation,CVX,2022,17678000,49602000,42005000,57447000,-516000,20972000,328000,257709000,235916000,
