SP_ENTITY_ID,SP_COMPANY_NAME,SP_TICKER,fiscal_year,iq_cash_equiv,iq_cash_oper,iq_ebit,iq_ebitda,iq_interest_exp,iq_lt_debt,iq_st_debt,iq_total_assets,iq_total_rev,pcd_total_liab,total_debt,interest_coverage,leverage,roa,ocf_to_debt,leverage_w,interest_coverage_w,roa_w,ocf_to_debt_w,distress,distress_lag1,distress_2y,default_t_plus_1
114008,"CBIZ, Inc.",CBZ,2020,4652.0,146845.0,92480.0,115619.0,-4983.0,109744.0,,1513754.0,963897.0,,,,,0.061093149877721215,,,,0.061093149877721215,,0,,0,0.0
114008,"CBIZ, Inc.",CBZ,2021,1997.0,131154.0,103140.0,130218.0,-3868.0,155347.0,,1627934.0,1104925.0,,,,,0.06335637685557277,,,,0.06335637685557277,,0,0.0,0,0.0
114008,"CBIZ, Inc.",CBZ,2022,4697.0,126132.0,168344.0,201239.0,-8039.0,263654.0,,1879124.0,1411979.0,,,,,0.08958642431260523,,,,0.08958642431260523,,0,0.0,0,0.0
114008,"CBIZ, Inc.",CBZ,2023,8090.0,153507.0,169039.0,205308.0,-20131.0,312018.0,,2043592.0,1591194.0,,,,,0.08271660879471049,,,,0.08271660879471049,,0,0.0,0,0.0
114008,"CBIZ, Inc.",CBZ,2024,13826.0,123692.0,122416.0,170476.0,-34379.0,1334192.0,,4470883.0,1813472.0,,,,,0.027380720989567384,,,,0.027380720989567384,,0,0.0,0,
114523,Caterpillar Inc.,CAT,2020,8822000.0,6327000.0,4835000.0,7267000.0,-514000.0,9646000.0,10000.0,78324000.0,41748000.0,,9656000.0,,0.12328277411776722,0.06173075940963178,0.6552402651201326,0.12328277411776722,,0.06173075940963178,0.6552402651201326,0,,0,0.0
114523,Caterpillar Inc.,CAT,2021,8428000.0,7198000.0,8274000.0,10626000.0,-488000.0,9667000.0,9000.0,82793000.0,50971000.0,,9676000.0,,0.11686978367736403,0.09993598492626188,0.7439024390243902,0.11686978367736403,,0.09993598492626188,0.7439024390243902,0,0.0,0,0.0
114523,Caterpillar Inc.,CAT,2022,6042000.0,7766000.0,9756000.0,11975000.0,-443000.0,9442000.0,3000.0,81943000.0,59427000.0,,9445000.0,,0.11526304870458734,0.11905836984245147,0.8222339862361038,0.11526304870458734,,0.11905836984245147,0.8222339862361038,0,0.0,0,0.0
114523,Caterpillar Inc.,CAT,2023,6106000.0,12885000.0,13668000.0,15812000.0,-511000.0,8507000.0,,87476000.0,67060000.0,,,,,0.15624857103662718,,,,0.15624857103662718,,0,0.0,0,0.0
114523,Caterpillar Inc.,CAT,2024,6165000.0,12035000.0,13563000.0,15646000.0,-512000.0,8497000.0,,87764000.0,64809000.0,,,,,0.1545394466979627,,,,0.1545394466979627,,0,0.0,0,
